Price,Vol,1DayAvg,14DayAvg,30DayAvg,180DayAvg
301.13,125.66877,301.13,301.13,301.13,301.13
301.61,377.67246,301.37,301.37,301.37,301.37
302.4,303.86672,301.7133333333333,301.7133333333333,301.7133333333333,301.7133333333333
302.68,754.7451,301.955,301.955,301.955,301.955
307.95,150.75029,303.154,303.154,303.154,303.154
308.62,469.27879,304.065,304.065,304.065,304.065
310.0,284.3914,304.91285714285715,304.91285714285715,304.91285714285715,304.91285714285715
308.3,273.2904,305.33625,305.33625,305.33625,305.33625
308.95,401.79278,305.73777777777775,305.73777777777775,305.73777777777775,305.73777777777775
308.62,310.58042,306.02599999999995,306.02599999999995,306.02599999999995,306.02599999999995
307.77,710.25965,306.18454545454546,306.18454545454546,306.18454545454546,306.18454545454546
306.5,459.41982,306.2108333333333,306.2108333333333,306.2108333333333,306.2108333333333
307.74,596.81077,306.3284615384615,306.3284615384615,306.3284615384615,306.3284615384615
308.0,191.94856,306.4478571428571,306.4478571428571,306.4478571428571,306.4478571428571
308.33,203.6548,306.5733333333333,306.5733333333333,306.5733333333333,306.5733333333333
309.1,215.63779,306.73125,306.73125,306.73125,306.73125
301.6,272.42251,306.4294117647059,306.4294117647059,306.4294117647059,306.4294117647059
304.79,330.54526,306.33833333333337,306.33833333333337,306.33833333333337,306.33833333333337
308.57,368.36785,306.4557894736842,306.4557894736842,306.4557894736842,306.4557894736842
306.74,229.6062,306.46999999999997,306.46999999999997,306.46999999999997,306.46999999999997
302.0,501.26558,306.25714285714287,306.25714285714287,306.25714285714287,306.25714285714287
300.08,374.41661,305.9763636363636,305.9763636363636,305.9763636363636,305.9763636363636
298.73,208.96849,305.66130434782605,305.66130434782605,305.66130434782605,305.66130434782605
300.05,605.93251,305.42749999999995,305.42749999999995,305.42749999999995,305.42749999999995
301.4,444.33795,305.2664,305.2664,305.2664,305.2664
301.8,525.33357,305.2932,305.1330769230769,305.1330769230769,305.1330769230769
304.7,356.1222,305.41679999999997,305.11703703703705,305.11703703703705,305.11703703703705
307.0,406.73244,305.6008,305.1842857142857,305.1842857142857,305.1842857142857
306.24,313.23742,305.74319999999994,305.2206896551724,305.2206896551724,305.2206896551724
304.23,306.05941,305.59439999999995,305.18766666666664,305.18766666666664,305.18766666666664
304.73,332.5643,305.43879999999996,305.1729032258064,305.1729032258064,305.1729032258064
308.88,261.1517,305.394,305.28874999999994,305.28874999999994,305.28874999999994
307.78,388.17208,305.3732,305.3642424242424,305.3642424242424,305.3642424242424
307.17,357.19041,305.30199999999996,305.41735294117643,305.41735294117643,305.41735294117643
303.22,398.64644,305.08599999999996,305.3545714285714,305.3545714285714,305.3545714285714
298.52,214.98578,304.716,305.16472222222217,305.16472222222217,305.16472222222217
298.8,403.96386,304.408,304.9927027027026,304.9927027027026,304.9927027027026
297.5,359.12225,303.9984,304.7955263157894,304.7955263157894,304.7955263157894
295.53,412.39491,303.4996,304.5579487179487,304.5579487179487,304.5579487179487
289.75,445.23397,302.7564,304.18774999999994,304.18774999999994,304.18774999999994
295.46,748.21537,302.2108,303.97487804878045,303.97487804878045,303.97487804878045
291.87,602.03512,301.82160000000005,303.6866666666666,303.6866666666666,303.6866666666666
288.01,477.84453,301.1504,303.3220930232558,303.3220930232558,303.3220930232558
293.74,93.91956,300.5572,303.10431818181814,303.10431818181814,303.10431818181814
293.31,86.0015,300.02000000000004,302.8866666666666,302.8866666666666,302.8866666666666
297.15,41.96377,299.826,302.7619565217391,302.7619565217391,302.7619565217391
297.19,87.48968,299.7104,302.6434042553191,302.6434042553191,302.6434042553191
298.64,66.73802,299.7068,302.55999999999995,302.55999999999995,302.55999999999995
294.69,42.9926,299.49240000000003,302.399387755102,302.399387755102,302.399387755102
297.17,35.01324,299.3232,302.29479999999995,302.29479999999995,302.29479999999995
293.69,45.0222,298.9988,302.1260784313725,302.1260784313725,302.1260784313725
289.02,112.26406,298.37159999999994,301.8740384615384,301.8740384615384,301.8740384615384
290.16,148.37539,297.698,301.6530188679245,301.6530188679245,301.6530188679245
287.66,228.92457,296.9548,301.39388888888885,301.39388888888885,301.39388888888885
291.36,447.45268,296.43999999999994,301.2114545454545,301.2114545454545,301.2114545454545
285.97,314.27781,295.6895999999999,300.9392857142857,300.9392857142857,300.9392857142857
281.39,166.32417,294.59,300.59631578947364,300.59631578947364,300.59631578947364
290.16,20.94515,293.88519999999994,300.4163793103448,300.4163793103448,300.4163793103448
285.5,13.81812,293.01839999999993,300.16355932203385,300.16355932203385,300.16355932203385
283.88,87.2125,292.24479999999994,299.89216666666664,299.89216666666664,299.89216666666664
288.64,61.94884,291.84959999999995,299.70770491803273,299.70770491803273,299.70770491803273
286.19,11.12991,291.3452,299.4896774193548,299.4896774193548,299.4896774193548
294.33,41.13882,291.2184,299.40777777777777,299.40777777777777,299.40777777777777
292.64,13.16832,291.1028,299.30203124999997,299.30203124999997,299.30203124999997
290.6,13.80734,291.13680000000005,299.1681538461538,299.1681538461538,299.1681538461538
289.9,25.0304,290.9144,299.02772727272725,299.02772727272725,299.02772727272725
293.25,35.15864,290.9696,298.9414925373134,298.9414925373134,298.9414925373134
290.91,0.0,291.0856,298.82338235294117,298.82338235294117,298.82338235294117
289.41,15.54493,290.9124,298.6869565217391,298.6869565217391,298.6869565217391
287.4,17.24852,290.67599999999993,298.5257142857143,298.5257142857143,298.5257142857143
289.94,32.59927,290.38759999999996,298.40478873239437,298.40478873239437,298.40478873239437
292.42,3.0082,290.19679999999994,298.3216666666666,298.3216666666666,298.3216666666666
