,30,31,32,33,34,35,36,37,38,39
35,370.7355722414275,370.1915637660103,369.0193397817413,369.07522865846124,368.0334427033317,365.8604676349152,365.0925469180938,364.2381787509601,363.21759742252004,361.38293716325455
36,373.75808126772785,372.91044911708093,371.10167061840434,371.2568941125493,370.98193664154303,368.97078332777255,367.9990578610672,367.1802667512225,366.39726762718647,365.5769163185854
37,376.64170986354713,375.7626440121365,374.3673608325565,373.0840871398414,373.2206302286753,372.72606879948364,371.0297012493124,370.2791278961562,369.50334773229815,368.7036868004734
38,378.4525285469716,377.7612084009537,376.5663356981229,375.9678030341757,375.1299707178143,375.28521392474795,373.98245036279445,373.262733502,372.63225892921423,371.7451594672562
39,380.36938100218856,380.2658222147725,379.2997036253675,378.3887977324906,377.8170409519194,377.1621519472552,377.2930769385879,376.0866630135478,375.44719125153955,374.0357431307903
40,382.59842169950724,382.3785273227695,382.2824057483451,380.14834928081837,380.001102275846,379.91259712584065,378.979680590096,378.8013243854907,378.31194198092913,376.5517205833474
41,384.1418195776654,384.4215232134571,384.37209929246654,383.1373698134977,381.78829688605765,381.400813133352,381.6288941262195,381.5654496224127,380.9337804982253,379.4390288016275
42,386.42012215073737,385.7610406031901,386.39639565175975,385.8429944695258,385.09056475300247,383.8009175130725,383.7420374726828,383.5507291071527,382.98552942308675,382.28753765414035
43,388.32110724239624,387.55708009425075,387.7611035883801,387.46659080027325,386.44916628353303,386.20122533411563,385.6375974315003,385.8186763301026,385.9065189204165,384.97516046437704
44,390.16796001516354,389.1556816500887,389.09535475712255,389.41834008225067,389.2844764670158,388.6313296121224,387.99281777350154,387.7379048134351,388.05975484460157,387.7227048280291
