,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,230.0977624,216.222082,207.2426513,200.5017325,195.0774294,190.5293051,186.6067393,183.1527671,180.0627669,177.2636961,174.7026207,172.3399647,170.1453455,168.0949066,166.1695532,164.3537504,162.6346829,161.0016524,159.445636,157.9589557,156.535026,155.1681588,153.8534094,152.5864545,151.3634935,150.1811688,149.0364998,147.9268295,146.849779,145.8032103,144.7851949,143.793987,142.8280009,141.885792,140.9660402,140.0675357,139.1891671,138.3299104,137.4888201,136.6650212,135.857702,135.066108,134.2895367,133.5273326,132.7788826,132.0436131,131.3209856,130.6104946,129.9116642,129.2240461,128.547217,127.8807773,127.2243484,126.5775718,125.9401075,125.3116322,124.6918386,124.0804341,123.4771397,122.8816889,122.2938272,121.7133112,121.1399077,120.5733929,120.0135523,119.4601796,118.9130764,118.3720517,117.8369213,117.3075077,116.7836392,116.26515,115.7518795,115.2436725,114.7403783,114.2418508,113.7479481,113.2585323,112.7734696,112.2926294,111.8158849,111.3431123,110.874191,110.4090035,109.947435,109.4893734,109.0347092,108.5833353,108.1351473,107.6900426,107.2479213,106.8086853,106.3722387,105.9384874,105.5073394,105.0787044,104.6524939,104.2286213,103.8070014,103.3875508
1,253.2110418,244.3763017,237.4678018,231.8851948,227.0771246,222.9149268,219.1884758,215.8174013,212.725547,209.8558337,207.1862345,204.6753405,202.3134828,200.0782262,197.952205,195.9279161,193.9876534,192.0397254,190.2585431,188.4070979,186.7346795,185.1380243,183.5775215,182.0671659,180.6407302,179.2167418,177.8636892,176.5202267,175.1919313,173.9145719,172.672076,171.456634,170.0411552,168.8762692,167.7319549,166.6118221,165.5170577,164.4577098,163.3732821,162.3482426,161.3627397,160.3697157,159.3973474,158.4379635,157.4974038,156.5961256,155.6854245,154.7965627,153.918018,153.05817,152.2046634,151.3909315,150.5724039,149.7611586,148.5596951,147.7619729,146.9740841,146.1970395,145.4305241,144.6761435,143.9318094,143.195183,142.4679487,141.7498491,141.0406368,140.3400733,139.6479286,138.9639896,138.288025,137.6198452,136.9628554,136.3096797,135.663709,135.0247532,134.3926284,133.7697423,133.1508365,132.5382844,131.9319224,131.3315997,130.7371703,130.1484921,129.5654272,128.9878417,128.4156054,127.8485918,127.286678,126.7297445,126.1776753,125.6303576,125.0876818,124.5495417,124.0158337,123.4864575,122.9613159,122.4403143,121.923361,121.4103672,120.9012468,120.3959164
2,264.0888925,256.6304355,250.5016937,245.593278,241.0558825,237.0539902,233.4981194,230.2460102,227.1766832,224.3751888,221.7488415,219.2745171,216.9196913,214.6915468,212.5646364,210.5294717,208.5750291,206.6965905,204.8848057,203.1325628,201.4365934,199.7930918,198.2000593,196.649806,195.1409095,193.6708954,191.9500404,190.5439965,189.1707381,187.8284307,186.5175407,185.2327162,183.9750557,182.7422479,181.5340918,180.3494873,179.1868172,178.0460886,176.9255213,175.8250353,174.7434277,173.6802492,172.6346968,171.6064465,170.5947792,169.599162,168.6190579,167.6539837,166.7029074,165.766384,164.8436774,163.9342463,163.0374019,162.1531185,161.2813417,160.4212019,159.5723265,158.7349196,157.9083054,157.0924996,156.2867409,155.4913593,154.7053948,153.9291912,153.1621081,152.4043245,151.6555007,150.9151054,150.1830811,149.4596325,148.7436924,148.0360145,147.3358195,146.6429834,145.9576062,145.2790203,144.607801,143.9431897,143.2850222,142.6334293,141.988375,141.3493213,140.7160603,140.0887538,139.467488,138.8513948,138.2411692,137.6360272,137.0362895,136.4414682,135.8515145,135.2667669,134.6866239,134.1109959,133.5401194,132.9735972,132.4113002,131.8532452,131.2992862,130.7493867
3,272.0514604,265.7843761,260.6037125,256.0884825,251.6843479,247.9044832,244.534349,241.4506066,238.5957109,235.9408958,233.5483977,231.0998439,228.4140493,226.0037484,223.8914263,221.670325,219.6920967,217.7999417,215.9520841,214.1354492,212.4292138,210.7376796,209.0902024,207.5551986,206.0290196,204.5125866,203.0328433,201.5873351,200.1743328,198.7909765,197.4372373,196.1122925,194.8123873,193.2137597,191.9591155,190.7200445,189.5041268,188.3098319,187.1171363,186.1140972,184.9817665,183.8681117,182.772357,181.692889,180.6314371,179.5847805,178.5541764,177.4977157,176.4956939,175.5076042,174.5376241,173.576219,172.6289553,171.6943709,170.7740245,169.864107,168.9647731,168.0779248,167.2022943,166.3406133,165.4854455,164.6435279,163.8087521,162.9826845,162.1684174,161.3632209,160.567128,159.7799565,159.0016046,158.2318345,157.4703304,156.7166646,155.9708486,155.2339125,154.504051,153.78119,153.0731805,152.3647999,151.6639342,150.9694114,150.2815004,149.6005114,148.9254468,148.2566848,147.5943043,146.9380456,146.2866707,145.6416757,145.0018996,144.3680986,143.7389445,143.1147492,142.4959135,141.8819264,141.2847149,140.6799869,140.0807083,139.485587,138.8943867,138.3081884
4,278.1596367,273.2284649,268.6211278,264.5215559,260.7297546,257.1713825,253.9715872,250.8335779,248.0888814,245.3483733,242.5463412,239.8480489,237.5905613,235.2556401,233.3973301,231.1866885,229.6805552,227.4269868,225.6588574,223.9433606,222.031211,220.3360663,218.6600494,217.0258904,215.4331173,214.2520049,212.9011601,211.4457676,210.0193312,208.6440357,207.2667447,205.8326674,204.5548952,202.0860441,200.8277662,199.5620568,197.899152,196.6367905,195.4319833,194.3208729,193.2284805,192.0855537,190.9598192,189.8401305,188.7984203,187.7526498,186.6841469,185.6945732,184.7015461,183.8978991,182.9915587,182.003534,181.0287235,180.0621484,179.1125533,178.2153549,177.2896526,176.3822404,175.4806421,174.5929692,173.7133587,172.8634456,172.0075665,171.160473,170.3208859,169.7026534,168.8451831,168.0384756,167.1873778,166.4027238,165.6197107,164.732617,163.9657964,163.207774,162.4570095,161.8506794,161.1161317,160.3909995,159.670035,158.9575682,158.2521217,157.5520424,156.890234,156.1296339,155.4496338,154.7758684,154.2253303,153.5634498,152.9085112,152.2564363,151.6095998,151.0062846,150.3689743,149.7380526,149.1114887,148.4915648,147.8737044,147.2879372,146.6807912,146.0761471
5,283.0441802,279.1001492,275.3500892,271.6921485,268.1522329,264.8533287,261.6836149,258.759896,255.8934074,253.1831429,250.5471463,248.0923213,245.8141797,243.3770795,241.1845846,239.0874726,237.172,234.3226931,232.3782072,230.4884954,228.8938902,227.0990673,225.4088393,223.7583852,222.1214448,220.9586151,219.1294948,217.5776757,216.0251275,214.557426,213.101883,211.8314852,210.7233828,209.8676036,208.6648602,207.3627598,205.4717359,204.2463977,203.0526107,201.8291419,200.676801,199.484756,198.3740226,197.176534,195.8824058,195.206815,194.1066761,193.0422531,192.0867618,191.0995683,190.1938115,189.1693501,188.1595822,187.3029083,186.3933472,185.4359057,184.0604805,183.096721,182.1590603,180.9807018,180.0599765,179.183607,178.2880936,176.5735106,175.6821425,174.7962184,173.9349824,173.069765,172.2151067,171.3730227,170.6429475,169.8140566,168.9965878,168.1886939,167.4123732,166.6162229,165.8280685,165.2316485,164.4588612,163.695734,162.9570542,162.206382,161.4650032,160.7314881,160.100383,159.3779548,158.6638532,158.2179959,157.5159679,156.8250486,156.0408223,155.3592262,154.6807562,154.0065037,153.278753,152.6165767,151.9213398,151.2645259,150.6150148,149.9702009
6,287.0256263,283.9912084,280.8465792,277.7171042,274.5607346,271.4782611,268.4477439,265.5138892,262.7616435,259.9904493,257.4093306,254.8242814,252.5628057,250.3783602,248.1293072,246.1139931,244.1219674,242.2616437,240.2688728,238.2139228,236.2892782,234.4536316,232.6292997,230.72792,229.0215195,227.341541,225.4400657,223.8655137,222.3468932,220.8570465,219.37324,217.9376778,216.5164599,215.3135538,214.0122917,212.6488712,211.186006,209.911607,208.6005061,207.3289188,204.9551771,203.4028018,202.2328503,201.0106872,199.8018733,198.6955582,197.5737656,196.4051023,195.2756539,193.791205,192.762921,191.564943,190.4838341,189.442125,188.4035664,187.3632792,186.3431259,185.3274,184.4945938,183.5062902,182.5247087,181.5593641,180.6617366,179.7361794,178.8261141,177.9172814,177.0059398,176.4702764,175.5787273,174.7464369,174.1159247,173.2608258,172.4259813,171.5858519,170.7723998,169.9929121,169.1801317,168.3797932,167.585263,166.7655443,165.9857505,165.0239532,164.3425738,163.5835601,162.8251238,162.0788701,161.3386615,160.5208597,159.7901962,159.0696997,158.3549334,157.6768019,156.971981,156.3089727,155.8359724,155.1513822,154.4761755,153.8539994,153.2145857,152.5512872
7,290.3118799,288.1014117,285.5073228,282.8819126,280.0580995,277.328067,274.5646439,271.8345304,269.0627767,266.4902104,263.9355992,261.5319011,259.1387607,256.8727281,254.7152271,252.4566771,250.1353672,248.1170152,246.1602203,244.2325576,242.3259253,240.4714441,238.651168,237.0117532,235.4019539,234.1143288,232.4293877,230.8582258,229.5066922,227.9741662,226.638563,225.1635751,223.5861817,222.2336374,220.8273807,219.4626939,218.1378503,216.776376,215.4771385,214.1853546,212.5990294,211.5207069,210.270198,209.051885,207.4114564,206.3292284,205.3463255,204.1987935,203.2348118,202.1654227,201.0612626,199.5509076,198.4702664,197.5437475,196.7995058,195.7659659,194.7427706,193.346141,191.6982834,190.6902654,189.2015367,188.2089332,187.106981,186.1315257,185.2300077,184.2745768,183.3702186,182.5031984,181.5834672,180.6742614,179.7371111,178.8488544,177.9652766,177.0911954,175.7300943,174.9057161,174.054124,173.207152,172.371754,171.5515448,170.7291615,169.9512598,169.1481805,168.3501012,167.5577978,166.7695712,165.9931101,165.2188943,164.4561908,163.6980508,162.9488374,162.2074772,161.4684459,160.8094365,160.2457962,159.5259577,158.8083187,158.1003184,157.3575263,156.6559092
8,293.0713762,291.6181474,289.5382516,287.1207673,284.7345194,282.2236902,279.7183195,277.1302481,274.571195,271.9858412,269.5513905,267.0791587,264.6854714,262.4312913,260.2083952,258.011787,255.7559556,253.6862651,251.7439426,249.7362763,247.7966803,245.9273215,244.1135234,242.5020142,240.5559199,238.7483824,237.0397901,235.1462154,233.5440376,231.9207116,230.3371544,228.8938471,227.3837897,225.8777749,224.3988188,222.9163039,221.4866235,220.2560607,218.8518951,217.482274,216.139088,214.7682019,213.4589625,212.1773879,210.9152284,209.8282728,208.6027532,207.3955309,206.1918824,205.004461,203.8343767,202.9531323,201.8185313,200.7801302,199.6680238,198.8648244,197.7867397,196.779596,195.7270976,194.6808575,193.6498784,192.7570108,191.6569139,190.7073542,189.7182718,188.9923986,188.0253171,186.9762889,186.0322533,185.1007281,184.1703624,183.2479779,182.3392532,181.3392737,180.447523,179.5651482,178.6898129,177.8249338,177.0771202,176.2331414,175.404049,174.5860259,173.75748,172.9394983,172.1504636,171.3431072,170.5458507,169.7520897,168.9721997,168.1946845,167.4188235,166.6580458,165.8991563,165.1409839,164.3937416,163.7094544,162.9727134,162.2393316,161.5315887,160.8086602
9,295.4779454,294.5786013,292.9760768,291.0570995,288.8029097,286.5825088,284.2595601,281.8472695,279.496908,277.1810275,274.8112255,272.4439402,270.2007286,267.7961153,265.5951112,263.2745484,261.1690991,259.0885099,257.0810909,255.1322962,253.1721937,251.2876452,249.4775381,247.6195248,245.7243329,243.9726291,242.2675637,240.4968338,238.5887649,236.9570144,235.3408201,233.7949854,232.2312179,230.8367191,229.327698,227.882787,226.4125118,224.9909432,223.3333894,221.9388555,220.5181675,219.1600428,218.0381975,216.7255537,215.4111148,214.1315827,212.9599151,211.7068567,210.3226249,209.0200999,207.8120327,206.2586368,205.0730763,204.0973684,202.9441159,201.8118791,200.6881605,199.5775565,198.5567487,197.4709065,196.4048795,195.3782286,194.3275509,193.2963674,192.4628972,191.6500559,190.6574692,189.6268453,188.6432333,187.6679259,186.7871735,185.8340172,184.8938899,183.9705828,183.0454961,182.1279715,181.2205873,180.3218006,179.4314447,178.4929528,177.6215655,176.7651112,175.907065,175.0561958,174.2133136,173.3799617,172.5485632,171.7314902,170.9197285,170.1163853,169.3194558,168.3619546,167.5772742,166.7950775,166.0190534,165.2508169,164.4867536,163.7309432,162.9824497,162.2354962
