,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
120,346.3022756,340.2670701,328.0629352,339.95595,374.7253212,334.5415575,313.6878427,341.0563942,342.717583,384.4149445,401.6689779,384.1401535,443.1371816,437.9927855,346.5661352,353.6527652,437.7191217,543.8006569,512.0591635,456.7655632,490.4932625,613.996088,431.6312081,505.4180264,493.1284424
121,339.6896467,342.0606763,326.8425782,374.4136052,329.9974189,322.15336,322.591967,364.9272245,392.8008916,368.2503507,339.1809374,438.5928224,435.8210011,478.245593,349.4141958,403.0689671,371.8846404,421.1226112,460.9536059,394.5853803,587.9726438,609.5018166,460.1784214,515.138323,506.5370677
122,338.6453401,339.3833699,367.922424,373.5346182,324.6882048,331.2954552,322.0834305,364.7598389,362.7736787,354.2884257,407.5191225,383.7439558,472.1591011,457.4974576,480.8534777,399.5829804,432.7840644,419.1855491,546.4960544,441.9446715,713.5538863,795.5723381,589.2639831,652.2503125,587.9032093
123,333.515893,338.0126758,365.6404196,372.8572283,374.0674854,336.4813255,348.7648881,335.0958121,362.5233126,354.7814551,376.3141926,473.1748336,416.5760878,532.1234927,405.0206143,505.360129,505.6432869,507.0026007,859.3223085,785.795824,739.9824383,1059.697697,719.9938911,667.5200166,685.4288143
124,332.4857691,404.6141039,376.7890572,351.5050602,373.7834193,346.2834237,348.030428,333.0490708,414.008608,385.9330004,381.7810149,458.281554,348.2934878,520.4650182,434.3794341,477.9306258,655.0260574,477.9626241,912.1447558,628.8906077,906.4468536,683.9925342,452.1046376,589.5552334,660.5445747
125,405.9108974,392.0117107,358.4531673,377.1461465,374.5657947,351.5169983,338.3615764,349.253235,405.1840849,403.4303646,447.7585042,364.1323187,364.7659649,591.4192312,346.3526829,371.3114787,491.8860277,786.8944671,898.8351821,658.4483176,1252.062861,857.2936307,748.066902,976.5186495,747.5572952
126,337.0501195,333.1319049,354.9558049,374.1768455,354.6248817,351.8459329,341.4295609,358.6313281,373.4884752,533.9337504,408.7920412,372.4719232,355.5161415,563.7301748,347.0343119,622.3953645,735.9410837,646.7290122,868.8787186,1032.89131,1082.208128,947.3119422,859.2973723,942.4242301,922.4729524
127,336.4389802,332.9631629,356.2296205,369.3069664,352.9701282,339.5665539,350.6994242,400.7377598,359.0556884,426.9999287,414.6923752,356.9323923,366.4503015,571.7589486,349.6348181,580.2837981,639.5303459,617.1087748,663.4353172,1021.081637,786.9905826,745.5491562,930.9561271,1036.163767,1008.923374
128,335.1067491,332.3527557,355.6650378,335.491041,352.7709859,339.6301216,353.4517552,406.7910329,354.5993454,412.3399495,457.4199723,355.6080255,528.1793281,557.2860772,499.4114834,508.6282026,529.0787095,660.2698443,650.3766427,938.4296391,670.3916025,767.4875777,809.5539688,847.532887,799.5455665
129,334.5145311,358.3260838,382.7349334,335.7584925,344.9598946,345.6912279,396.2899023,404.6507358,353.2352487,423.4044845,496.646146,354.9979671,560.8924371,546.2520642,507.2931635,483.6914644,526.6707483,602.7594645,648.5474513,643.8399432,634.3916868,722.6832067,738.3379871,934.0793992,863.7639173
130,333.3810262,358.5525358,382.3570845,333.8368873,340.8220789,400.4750586,363.0704338,347.6284105,340.7234044,388.5701096,345.8516677,479.111863,596.8706951,337.5182113,498.729366,495.4531055,546.0328154,678.3725733,560.5700687,673.0915237,691.8271843,604.8430839,621.3251643,667.0058304,669.8747418
131,328.7056047,356.0341753,364.1308276,342.7742966,343.1055047,389.5138555,358.3482619,346.3154192,340.1931945,393.7635195,347.0690164,425.0229653,666.8296421,324.366864,401.1375942,525.0425306,388.2404037,666.6502521,608.8760928,685.9281901,690.2010228,674.4322105,684.237402,651.8622225,738.5380936
132,328.9605532,355.8291197,331.3313884,341.9146042,332.8533043,383.1849997,358.7239196,320.3794953,338.5075972,382.9460399,427.6862381,354.6909849,350.4662077,357.4919841,440.4407015,524.4028468,513.1685422,493.9736687,499.6878814,478.5521764,591.4573078,584.0794216,615.3716139,658.2319028,648.7058218
133,373.1809186,375.1242533,330.5573735,341.5751083,332.5228238,353.0205176,358.3560673,324.9329386,416.7852392,345.7260324,364.2155194,353.1633824,446.8349875,333.5360732,400.7234053,596.6707954,542.9936515,505.8713902,408.151224,373.6701076,345.9087314,398.0804969,475.2715097,597.7985677,549.0695683
134,385.0214581,382.7351193,330.2282611,335.3658817,389.5367198,352.2304844,365.4729975,323.9323344,436.506259,408.3844322,363.5338897,422.3284407,413.4951118,422.7789716,315.5142126,433.3973122,410.7897057,464.4576136,387.0711674,405.0492237,340.3161126,334.6000798,429.1609542,539.6275761,513.4317361
135,376.7155683,380.3993095,331.6220485,338.5624426,390.1689365,357.4411282,363.41911,356.3924633,424.0069277,412.9251549,369.8342585,456.0508128,420.291417,435.9496763,305.5618812,348.8922022,423.7792067,385.1296461,411.4086392,409.052924,446.7024081,354.165258,428.9550792,551.5042201,413.8025245
136,376.375692,377.214196,378.8852767,387.0686307,386.9697503,340.5507755,322.0236593,382.3441761,345.8902536,428.1723052,450.3724074,420.625954,411.5094991,447.7124621,307.75356,417.7209787,359.5655935,368.4017699,438.3171495,389.9230887,429.3306735,386.1260528,455.6464946,468.0824303,293.3834701
137,383.2096441,334.5065674,395.0120609,394.3468755,393.3938675,347.1627397,328.0203691,449.1252287,411.3510975,422.2628108,356.4179495,429.3221135,444.1920598,408.6690872,290.0052784,396.3061319,496.3585239,512.5707789,385.5532119,411.6749142,379.2083416,406.7017835,427.2115355,381.2290419,341.4426243
